Council,Acute Diarrhoea (<14 Days),Acute Ear Infection,Acute Flaccid Paralysis,Acute Glumerulonephritis,Animal Bite (Suspected Rabies),Animal Bites (No Suspected Rabies),Anthrax,Birth Asphyxia,Bronchial Asthma,Burn,Cardiac Failure,Cerebral Palsy,Cholera,Chronic Ear Infection,Congenital Disorders,Diabetes Mellitus,Diarrhea Chronic (>= 14 Days),Dysentery,Ectopic Pregnancy,Epilepsy,"Eye Diseases, Non-Infectious",Eye Infection,"Eye Infections, Other",Fractures,"Gastrointestinal Diseases, Other Non-Infectious",Gynaecological Diseases,Hepatitis,Hypertension,Infant of Diabetic Mother,Kwashiorkor,Leprosy,Low Birth Weight And Prematurity Complication,Lymphatic Filariasis,Malaria Severe BS +Ve,Malaria Severe Clinical,Malaria Severe mRDT +ve,Marasmic Kwashiorkor,Marasmus,Measles,Meningitis,Mild/Moderate Anaemia,Moderate Malnutrition,"Neonatal Septicaemia, Infections",Neonatal Tetanus,Neoplasms,Nephorotic Syndrome,Neurosis,Non-Infectious Ear Diseases,Non-Infectious Liver Diseases,"Nutritional Disorders, Other",Osteomyelitis,Other Cardiovascular Diseases,Other Diagnosis,Peptic Ulcers,Plague,"Pneumonia, Non-Severe","Pneumonia, Severe",Poisoning,Psychoses,Rabies / Suspected Rabied Bites,Relapsing Fever (Louse Borne Typhus),Renal Failure,Respiratory System disorders other,Rheumatic Fever,Rheumatoid And Joint Diseases,Road Traffic Accidents,STI Genital Discharge Syndrome (GDS),STI Genital Ulcer Diseases (GUD),STI Pelvic Inflammatory Diseases,Schistosomiasis,Severe Anaemia,"Sexually Transmitted Infection, Other",Sickle Cell Disease,"Skin Diseases, Non-Infectious",Skin Infections,Soil Transmitted Helminths,Substance Abuse,Symptomatic Hiv Infection,Thyroid Diseases,Tuberculosis,Typhoid,Upper Respiratory Infections,Urinary Tract Infections,Viral Haemorrhagic Fevers
Arusha CC,521,17,0,2,0,2,3,665,56,266,23,0,0,1,231,12,74,15,0,34,5,0,4,106,183,36,0,13,0,9,0,919,0,82,27,0,81,29,0,0,151,36,579,1,11,4,0,5,6,8,7,15,3311,31,0,1111,1247,89,21,0,0,2,0,100,0,19,0,0,0,1,111,0,33,7,24,1,0,42,0,42,5,436,163,0
Arusha DC,168,0,0,0,0,0,0,50,20,31,4,0,0,1,12,1,6,4,0,10,3,0,3,15,25,1,0,1,0,22,0,190,0,4,1,0,17,66,0,0,10,33,57,1,5,0,0,0,1,12,4,0,139,1,0,428,698,19,0,0,0,0,0,2,1,8,0,0,0,0,5,0,1,1,11,0,0,14,1,9,0,94,10,0
Karatu DC,125,8,1,1,0,3,0,6,33,34,1,0,0,1,1,1,7,19,0,5,0,0,7,9,223,6,0,2,0,10,0,28,0,42,0,1,2,1,0,0,31,20,42,0,0,1,0,2,9,3,0,2,355,3,0,1192,363,38,0,1,0,0,0,2,2,8,0,0,0,0,37,0,0,6,4,1,0,2,1,6,31,309,54,0
Longido DC,24,1,0,0,0,0,0,0,9,8,0,0,0,0,1,0,5,2,0,5,0,0,2,2,27,1,0,0,0,3,0,1,0,4,1,0,1,3,0,0,4,2,2,0,0,0,0,1,0,0,0,2,20,0,0,106,66,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,21,8,0
Meru DC,115,6,3,1,0,4,2,27,6,52,0,0,0,0,42,1,7,2,0,4,2,0,2,23,101,0,0,0,0,1,0,62,0,43,0,0,2,0,0,0,3,13,102,0,1,14,0,3,0,1,0,0,226,0,0,556,861,15,0,8,0,3,0,1,0,10,0,0,0,1,3,0,2,4,17,10,0,4,0,4,1,80,74,0
Monduli DC,197,14,6,0,0,4,1,21,7,28,0,0,0,1,0,2,14,12,0,6,0,0,11,10,43,14,0,0,0,0,0,13,0,28,0,0,10,11,0,0,59,25,67,0,0,1,0,0,1,9,0,7,89,0,0,359,456,8,5,0,0,0,0,7,0,11,0,0,0,0,27,0,2,6,4,0,0,19,0,18,3,52,60,0
Ngorongoro DC,344,7,0,1,0,2,13,8,3,44,8,0,0,4,9,2,7,10,0,1,1,0,28,15,25,0,0,3,0,8,0,12,0,35,6,0,62,18,0,0,214,15,17,0,0,6,0,0,1,10,1,5,403,1,0,677,400,18,0,4,0,0,0,0,2,3,0,0,0,0,33,0,0,2,8,7,0,7,0,45,30,64,58,0
Ilala MC,1044,15,0,1,0,4,0,1058,179,52,17,0,0,6,19,21,194,11,0,45,0,0,0,3,106,206,0,6,0,57,0,743,0,1605,303,0,160,75,0,0,241,86,1544,1,2,14,0,2,3,4,0,10,1794,25,0,904,995,25,0,1,0,0,0,12,1,0,0,0,0,4,621,0,105,2,10,2,0,40,0,24,2,301,206,0
Kigamboni MC,188,1,0,0,0,0,0,0,1,46,1,0,0,0,1,3,4,6,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,314,40,0,21,1,0,0,15,2,1,0,0,1,0,1,31,0,0,0,95,11,0,66,213,23,0,0,0,0,0,0,0,6,0,0,0,0,44,0,12,0,0,0,0,5,88,4,13,44,163,0
Kinondoni MC,646,18,6,1,0,6,0,746,134,233,40,0,0,20,11,26,72,29,0,15,23,0,4,39,72,47,0,11,0,18,0,351,0,1116,355,0,94,13,0,0,214,54,1384,2,2,12,0,7,1,28,4,27,417,8,0,481,692,73,0,2,0,1,0,24,4,44,0,0,0,0,189,0,45,11,5,0,0,50,10,32,60,552,285,9
Temeke MC,1070,7,1,0,0,0,0,1358,125,191,9,0,0,4,45,31,45,21,0,18,2,0,1,114,42,20,0,17,0,11,0,136,0,2190,271,0,13,2,0,0,484,237,981,1,1,1,0,1,0,1,1,4,1165,2,0,1146,969,11,1,2,0,3,0,10,0,0,0,0,0,0,498,9,115,1,5,0,0,82,14,95,6,207,497,0
Ubungo MC,309,0,0,5,0,2,0,1,53,23,0,0,0,1,0,4,33,43,0,4,5,0,0,20,96,9,0,11,0,0,0,7,0,582,41,0,2,1,0,0,39,3,9,3,0,0,0,1,2,0,0,7,166,0,0,161,64,19,2,1,0,0,0,6,0,23,0,0,0,0,11,0,7,3,2,0,0,2,0,12,21,240,119,0
Bahi DC,114,0,0,1,0,0,0,4,27,4,0,0,0,0,3,0,52,16,0,0,0,0,0,1,28,1,0,0,0,2,0,8,0,217,139,0,2,3,0,0,23,8,7,0,0,5,0,0,2,3,0,0,115,0,0,324,59,3,0,2,1,0,0,3,0,0,0,0,0,12,9,0,1,0,0,0,0,0,0,1,1,25,22,0
Chamwino DC,259,1,0,0,0,1,0,4,11,19,1,0,0,0,0,6,24,12,0,7,14,0,10,8,29,44,0,1,0,11,0,59,0,617,165,51,24,17,0,0,27,7,23,0,0,1,0,0,11,1,0,37,280,17,0,299,302,6,0,0,8,0,0,5,1,1,0,0,0,18,146,9,7,2,8,0,0,0,16,27,30,103,96,0
Chemba DC,60,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,36,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,93,89,1,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0
Dodoma MC,466,15,0,4,0,113,0,182,51,155,36,0,0,3,63,15,12,32,0,15,26,0,10,123,246,6,0,14,0,30,0,352,1,480,182,3,15,39,0,0,127,75,808,1,5,21,0,3,11,35,4,15,1233,4,0,560,339,65,1,1,24,10,0,88,5,68,0,0,0,0,206,0,118,44,47,47,0,56,2,10,116,346,176,10
Kondoa DC,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,23,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0
Kondoa TC,215,0,1,1,0,0,1,0,9,9,2,0,0,0,1,5,17,9,0,5,0,0,0,13,1,0,0,2,0,7,0,0,0,45,56,0,1,26,0,0,21,1,1,0,1,1,0,2,2,0,1,2,84,5,0,211,59,13,0,1,0,0,0,0,0,26,0,0,0,0,55,1,1,0,6,1,0,1,1,2,36,25,99,0
Kongwa DC,279,4,45,11,0,2,0,40,4,28,0,0,0,0,1,1,15,6,0,3,3,0,0,32,11,8,0,4,0,8,0,100,0,307,207,59,11,12,0,0,123,12,30,0,0,5,0,0,0,0,1,0,199,1,0,569,131,22,0,0,0,3,0,10,2,8,0,0,0,4,123,0,10,0,3,3,0,8,22,1,25,36,122,0
Mpwapwa DC,314,5,0,0,0,4,1,113,12,30,0,0,0,0,0,0,0,5,0,2,1,0,0,11,32,19,0,0,0,4,0,187,0,358,76,18,4,9,0,0,107,7,14,0,0,0,0,0,0,3,0,1,217,0,0,277,431,24,1,0,0,0,0,10,1,2,0,0,0,3,135,0,10,1,18,63,0,5,0,0,0,114,47,0
Bukombe DC,141,0,0,0,0,2,0,0,3,22,2,0,0,1,0,2,161,3,0,1,0,0,0,9,1,2,0,0,0,1,0,0,0,1026,245,0,0,6,0,0,319,3,0,0,0,0,0,0,0,0,1,0,1,0,0,132,54,4,0,0,0,0,0,0,0,5,0,0,0,0,684,0,4,0,1,0,0,6,0,4,0,22,29,0
Chato DC,288,0,0,0,0,1,0,26,12,23,0,0,0,0,0,1,53,0,0,1,0,0,0,0,14,2,0,0,0,1,0,69,0,1021,285,0,5,2,0,0,122,10,16,0,0,0,0,0,2,0,1,1,143,0,0,169,56,29,88,0,0,0,0,0,0,20,0,0,0,6,234,1,5,0,29,0,0,0,0,0,52,23,135,0
Geita DC,199,7,0,0,0,0,0,13,3,20,0,0,0,0,0,3,47,3,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,1063,482,0,6,12,0,0,85,7,9,2,0,0,0,0,1,0,0,5,8,0,0,239,85,2,0,0,0,0,0,0,0,36,0,0,0,14,38,11,2,0,12,69,0,3,0,0,10,36,158,0
Geita TC,266,19,0,0,0,0,0,0,0,43,0,0,0,0,2,0,30,3,0,2,0,0,9,4,3,0,0,0,0,42,0,2,0,1891,693,0,22,20,0,0,506,27,1,0,0,4,0,0,0,6,1,1,49,3,0,248,174,7,3,1,0,0,0,0,0,19,0,0,0,1,709,0,10,0,0,9,0,15,0,2,33,86,157,0
Mbogwe DC,75,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,6,2,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,362,61,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,8,0,0,83,43,2,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,29,23,0
Nyang'hwale DC,125,5,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,3,0,0,1,0,4,0,12,0,0,1,0,0,0,1,0,485,110,0,0,0,0,0,67,6,3,0,0,0,0,0,0,0,0,0,0,0,0,117,37,0,0,0,0,0,0,0,0,3,0,0,0,0,73,0,6,0,3,0,0,5,0,1,19,66,171,0
Iringa DC,419,4,0,0,0,2,0,5,23,32,18,0,0,0,0,4,42,13,0,6,8,0,16,25,62,0,0,11,0,44,0,11,1,404,133,0,46,72,0,0,44,58,56,0,1,1,0,2,4,14,4,12,383,9,0,372,212,16,10,3,0,0,0,34,0,7,0,0,0,0,39,0,14,5,32,0,0,15,1,21,2,140,116,0
Iringa MC,209,204,0,0,0,70,0,479,99,97,49,0,0,118,0,122,98,108,0,28,175,0,151,83,67,35,0,0,0,165,0,312,25,72,150,0,155,134,0,0,106,76,71,199,2,0,0,49,0,89,6,28,442,5,0,250,229,22,7,66,0,36,0,0,0,65,0,0,0,0,135,62,63,161,170,19,0,100,0,57,25,114,212,0
Kilolo DC,109,1,1,0,0,0,0,2,7,13,0,0,0,0,0,0,28,14,0,2,0,0,0,0,126,0,0,0,0,4,0,1,0,234,310,0,25,7,0,0,45,16,20,0,0,1,0,0,11,2,0,1,113,6,0,211,116,4,0,1,13,0,0,2,0,5,0,0,0,38,29,0,0,1,4,0,0,18,0,2,0,14,95,0
Mafinga TC,113,5,0,0,0,1,0,32,25,53,0,0,0,2,0,0,16,10,0,3,0,0,1,10,38,0,0,7,0,0,0,172,0,52,89,0,45,1,0,0,5,21,0,0,0,5,0,0,0,0,0,6,75,0,0,141,199,8,1,2,1,0,0,7,0,20,0,0,0,35,42,0,1,1,6,0,0,0,0,2,0,59,50,0
Mufindi DC,186,2,0,2,0,0,0,2,4,34,0,0,0,0,2,0,17,6,0,9,1,0,0,10,36,0,0,0,0,70,0,24,0,69,54,3,12,15,0,0,9,11,2,0,0,1,0,0,14,8,0,2,182,3,1,550,168,13,0,1,0,0,0,5,0,5,0,0,0,0,5,0,1,1,1,1,0,3,1,0,10,51,21,0
Biharamulo DC,524,0,1,0,0,1,0,19,7,70,3,0,0,0,6,4,0,6,0,2,1,0,3,24,0,0,0,0,0,7,0,60,0,2222,20,0,2,1,0,0,267,75,53,0,0,0,0,0,0,8,3,0,77,10,0,531,253,9,0,1,0,1,0,0,0,2,0,0,0,0,399,0,36,10,3,0,0,5,0,0,8,113,507,0
Bukoba DC,261,6,0,0,0,2,0,1,2,9,0,0,0,1,0,2,36,1,0,8,8,0,15,2,132,0,0,3,0,1,0,2,0,2827,49,0,2,1,0,0,87,19,6,0,0,6,0,2,3,6,0,0,86,8,0,259,90,7,3,3,0,2,0,5,0,14,0,0,0,0,127,1,1,0,8,22,0,2,0,0,28,146,167,0
Bukoba MC,222,3,0,0,0,1,0,10,14,37,1,0,0,0,1,269,55,9,0,6,0,0,2,18,76,0,0,20,0,17,0,24,1,856,566,0,10,11,0,0,4,23,80,0,3,1,0,0,1,0,0,3,73,0,0,123,312,19,1,2,0,1,0,2,0,28,0,0,0,0,124,0,13,4,14,29,0,121,1,18,10,144,337,0
Karagwe DC,530,20,0,0,0,26,0,8,18,12,9,0,0,0,0,3,44,10,0,1,80,0,82,9,33,2,0,5,0,7,0,98,5,1659,539,0,2,7,0,0,579,42,70,0,0,5,0,12,0,10,0,0,681,2,0,960,495,26,5,1,0,0,0,10,3,49,0,0,0,1,116,0,12,27,227,71,0,11,0,4,3,334,728,0
Kyerwa DC,489,6,0,2,0,3,0,30,15,14,0,0,0,0,0,0,7,11,0,5,0,0,1,2,21,1,0,0,0,5,0,34,0,2042,62,0,1,4,0,0,69,4,76,0,1,0,0,1,1,1,0,0,178,4,0,627,354,35,2,2,0,0,0,37,0,12,0,0,0,0,102,1,1,6,12,31,0,19,0,0,4,178,147,7
Missenyi DC,314,2,0,0,0,2,0,24,22,34,0,0,0,0,5,2,9,4,0,1,17,0,8,3,110,0,0,4,0,4,0,73,0,3335,78,13,5,5,0,0,229,16,19,0,2,7,0,2,3,6,2,6,196,18,0,279,278,14,0,0,0,0,0,20,0,15,0,0,0,0,367,10,28,2,4,76,0,4,0,5,32,145,257,0
Muleba DC,1021,10,0,0,0,1,0,25,22,28,8,0,0,0,7,0,55,21,0,12,13,0,7,15,103,1,0,5,0,93,0,136,0,2373,25,0,27,58,0,0,381,24,70,0,1,23,0,1,0,1,17,2,584,6,0,674,419,14,1,0,0,0,0,2,6,39,0,0,0,1,224,1,9,3,13,36,0,10,0,2,39,362,458,0
Ngara DC,1108,17,1,1,0,6,0,7,42,34,1,0,0,25,1,0,423,258,0,26,16,0,39,13,651,0,0,0,0,31,0,2,0,4415,159,0,42,9,0,0,246,112,23,5,0,1,0,22,3,44,0,1,1008,6,0,1328,788,14,0,8,13,0,0,2,0,29,0,0,0,0,319,4,27,17,64,10,0,8,0,16,2,1052,1045,0
Mlele DC,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,126,16,0,0,0,0,0,30,0,0,0,0,0,0,40,0,0,0,0,11,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,5,0,0,0,0,0,0,4,30,11,0
Mpanda DC,48,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,255,22,0,2,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,7,0,0,61,14,2,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,11,3,0
Mpanda TC,396,0,0,0,0,0,0,11,19,57,1,0,0,0,1,3,6,17,0,0,0,0,0,23,9,0,0,0,0,34,0,11,0,1994,516,66,23,47,0,0,1207,54,0,0,0,4,0,0,0,0,7,0,183,0,0,371,342,15,1,4,0,0,0,0,0,7,0,0,0,1,1572,0,13,0,1,0,0,1,0,0,34,4,246,0
Mpimbwe DC,45,2,0,0,0,0,0,0,0,5,0,0,0,8,0,0,5,0,0,0,1,0,0,5,0,1,0,0,0,5,0,0,0,95,23,0,0,0,0,0,24,0,2,0,0,0,0,2,0,0,0,0,25,0,0,22,12,0,0,0,0,0,0,0,0,3,0,0,0,8,44,0,1,0,4,0,0,0,0,0,2,0,5,0
Nsimbo DC,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,6,0,4,0,9,0,0,0,0,0,0,0,0,450,10,0,0,0,0,0,40,3,1,0,0,0,0,1,0,0,0,0,22,0,0,67,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,2,1,0,1,0,0,0,2,20,0
Buhigwe DC,160,6,0,0,0,4,0,5,3,9,1,0,0,0,0,0,10,2,0,0,4,0,1,5,11,0,0,0,0,3,0,0,0,1272,12,0,0,1,0,0,229,15,2,1,0,0,0,1,0,1,1,0,160,0,0,180,95,8,2,0,0,0,0,0,0,3,0,0,0,3,221,0,25,9,6,154,0,0,4,0,1,110,262,0
Kakonko DC,77,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,16,7,0,0,0,0,0,4,15,0,0,0,0,3,0,0,0,357,146,22,1,2,0,0,39,1,0,0,0,0,0,0,1,0,1,0,107,4,0,107,45,1,0,3,0,0,0,21,0,10,0,0,0,0,36,0,2,5,0,0,0,0,0,0,7,83,60,0
Kasulu DC,204,2,0,0,0,5,0,20,4,13,0,0,0,0,0,0,3,9,0,3,0,0,1,8,10,0,0,0,0,15,0,27,0,1122,427,0,0,20,0,0,10,9,18,0,0,0,0,1,0,2,1,0,179,0,0,185,83,2,0,0,0,0,0,0,2,3,0,0,0,1,115,0,24,10,9,12,0,0,0,1,1,88,241,0
Kasulu TC,514,1,0,0,0,10,0,55,16,30,0,0,0,1,6,6,78,15,0,2,4,0,22,37,2,26,0,2,0,15,0,145,1,1461,515,0,19,38,0,0,241,10,94,1,0,0,0,2,18,7,2,3,348,6,0,290,372,12,7,0,0,0,0,8,0,24,0,0,0,2,565,0,49,1,1,24,0,4,7,6,2,108,324,0
Kibondo DC,704,4,0,0,0,1,0,9,5,7,3,0,0,0,1,0,29,2,0,1,1,0,0,14,87,3,0,0,0,8,0,46,0,1164,285,0,5,2,0,0,112,4,5,0,0,24,0,0,18,0,1,13,289,0,0,143,73,7,0,0,4,1,0,4,0,19,0,0,0,35,172,0,13,0,1,0,0,6,0,0,0,14,111,0
Kigoma DC,787,53,0,0,0,9,0,8,36,16,11,0,0,33,3,5,19,3,0,6,7,0,14,28,45,0,0,0,0,30,0,41,10,1014,51,28,19,22,0,0,230,37,11,0,0,15,0,3,31,0,4,12,370,0,2,304,204,1,1,1,0,0,0,9,5,38,0,0,0,11,88,2,71,1,48,102,0,8,6,18,0,119,276,0
Kigoma MC,249,0,0,0,0,2,0,39,37,27,3,0,0,1,4,7,58,6,0,0,1,0,3,18,47,0,0,1,0,9,0,5,0,2879,732,0,19,10,0,0,241,22,443,1,0,0,0,0,27,4,3,29,249,1,0,637,240,34,1,0,0,1,0,10,0,12,0,0,0,5,251,0,41,2,12,1,0,14,0,23,19,46,106,0
Uvinza DC,113,0,1,0,0,0,0,5,6,11,0,0,0,0,0,1,20,4,0,0,2,0,2,1,31,22,0,1,0,6,0,6,0,364,486,0,6,7,0,0,52,1,50,0,0,0,0,1,10,0,0,19,81,2,0,104,28,14,1,1,1,0,0,0,5,44,0,0,0,36,196,0,13,0,0,3,0,15,4,0,23,55,120,0
Hai DC,184,8,0,2,0,0,2,0,70,101,1,0,0,0,0,38,1,0,0,3,0,0,55,95,16,21,0,1,0,9,0,0,0,81,8,0,37,8,0,0,61,23,284,0,0,0,0,0,0,1,8,0,105,0,0,487,460,11,0,0,0,5,0,0,0,22,0,0,0,2,10,0,1,8,7,0,0,38,0,7,0,78,139,0
Moshi DC,192,18,73,2,0,1,0,9,29,41,0,0,0,1,3,0,19,4,0,8,19,0,2,24,185,6,0,0,0,3,0,5,0,75,1,0,5,5,0,0,16,13,44,0,1,2,0,18,5,10,2,0,351,18,0,680,220,34,0,1,0,1,0,21,0,33,0,0,0,0,4,0,0,38,47,20,0,29,0,8,4,283,192,0
